snapshot_time,party_date,period,ride_id,ride_name,status,posted_wait_minutes,source_last_updated,weather_observed_time,temperature_f,feels_like_f,humidity_pct,precip_probability_pct,precipitation_in,rain_in,showers_in,weather_code,wind_mph,wind_gust_mph
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,73cb9445-0695-47a3-87ce-d08ae36b5f3c,Tiana's Bayou Adventure,OPERATING,15,2026-08-16T01:28:06.768Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,90d79335-c907-4069-a021-d0fe1ec73ae2,Cinderella Castle,OPERATING,,2026-08-15T12:00:00.469Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,888fb4a4-7adf-47a1-8ba2-c258cc64fd75,Main Street Vehicles,CLOSED,,2026-08-15T20:01:06.089Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,0d94ad60-72f0-4551-83a6-ebaecdd89737,The Many Adventures of Winnie the Pooh,OPERATING,20,2026-08-16T01:14:01.908Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,352feb94-e52e-45eb-9c92-e4b44c6b1a9d,Pirates of the Caribbean,OPERATING,5,2026-08-16T01:29:18.519Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,ffcfeaa2-1416-4920-a1ed-543c1a1695c4,Tomorrowland Transit Authority PeopleMover,OPERATING,10,2026-08-16T00:57:06.099Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,86a41273-5f15-4b54-93b6-829f140e5161,Peter Pan's Flight,OPERATING,30,2026-08-16T01:18:01.057Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,0aae716c-af13-4439-b638-d75fb1649df3,Mad Tea Party,OPERATING,5,2026-08-16T01:25:10.858Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,7c5e1e02-3a44-4151-9005-44066d5ba1da,Mickey's PhilharMagic,OPERATING,15,2026-08-16T00:24:01.522Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,924a3b2c-6b4b-49e5-99d3-e9dc3f2e8a48,The Barnstormer,OPERATING,5,2026-08-16T01:29:18.468Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,5a43d1a7-ad53-4d25-abfe-25625f0da304,TRON Lightcycle / Run,OPERATING,80,2026-08-16T01:14:01.852Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,9d4d5229-7142-44b6-b4fb-528920969a2c,Seven Dwarfs Mine Train,OPERATING,35,2026-08-16T01:16:57.899Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,2551a77d-023f-4ab1-9a19-8afec0190f39,Haunted Mansion,OPERATING,15,2026-08-16T01:26:58.914Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,f5aad2d4-a419-4384-bd9a-42f86385c750,"""it's a small world""",OPERATING,5,2026-08-16T01:29:18.510Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,b2260923-9315-40fd-9c6b-44dd811dbe64,Space Mountain,OPERATING,45,2026-08-16T01:25:10.875Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,d9d12438-d999-4482-894b-8955fdb20ccf,Astro Orbiter,OPERATING,15,2026-08-16T00:57:06.089Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,f163ddcd-43e1-488d-8276-2381c1db0a39,Tomorrowland Speedway,OPERATING,5,2026-08-16T01:29:18.535Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,890fa430-89c0-4a3f-96c9-11597888005e,Dumbo the Flying Elephant,OPERATING,5,2026-08-16T01:29:18.502Z,,,,,,,,,,,
2026-08-15T21:30:16.153328-04:00,2026-08-15,PARTY,3cba0cb4-e2a6-402c-93ee-c11ffcb127ef,Under the Sea - Journey of The Little Mermaid,OPERATING,5,2026-08-16T01:29:18.476Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,96455de6-f4f1-403c-9391-bf8396979149,The Magic Carpets of Aladdin,OPERATING,5,2026-08-16T01:33:38.859Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,e8f0b426-7645-4ea3-8b41-b94ae7091a41,"Monsters, Inc. Laugh Floor",OPERATING,10,2026-08-16T01:33:38.769Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,30fe3c64-af71-4c66-a54b-aa61fd7af177,Swiss Family Treehouse,OPERATING,5,2026-08-15T12:03:52.989Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,72c7343a-f7fb-4f66-95df-c91016de7338,Buzz Lightyear’s Space Ranger Spin,OPERATING,35,2026-08-16T01:23:58.640Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,0f57cecf-5502-4503-8bc3-ba84d3708ace,Country Bear Musical Jamboree,OPERATING,10,2026-08-15T16:23:52.113Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,f010bc01-b450-4476-a5f3-a5f2813104b2,Casey Jr. Splash 'N' Soak Station,CLOSED,,2026-08-15T22:00:00.629Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,273ddb8d-e7b5-4e34-8657-1113f49262a5,Prince Charming Regal Carrousel,OPERATING,10,2026-08-16T00:41:01.026Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,e76c93df-31af-49a5-8e2f-752c76c937c9,Enchanted Tales with Belle,CLOSED,,2026-08-15T23:30:59.893Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,2ebfb38c-5cb5-4de1-86c0-f7af14188022,The Hall of Presidents,CLOSED,,2026-08-16T01:01:02.647Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,e39b831b-7731-49bb-815b-289b4f49a9fd,"Walt Disney World Railroad - Main Street, U.S.A.",CLOSED,,2026-08-16T00:46:13.470Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,8183f3f2-1b59-4b9c-b634-6a863bdf8d84,Walt Disney's Carousel of Progress,REFURBISHMENT,,2026-07-23T21:50:48.516Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,e40ac396-cbac-43f4-8752-764ed60ccceb,Walt Disney World Railroad - Fantasyland,CLOSED,,2026-08-16T00:46:13.447Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,796b0a25-c51e-456e-9bb8-50a324e301b3,Jungle Cruise,OPERATING,15,2026-08-16T01:09:59.821Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,6fd1e225-53a0-4a80-a577-4bbc9a471075,Walt Disney's Enchanted Tiki Room,OPERATING,10,2026-08-15T13:01:47.946Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,de737ffc-306b-4f32-8bbb-34e5d370ec8f,A Pirate's Adventure ~ Treasures of the Seven Seas,CLOSED,,2026-08-15T22:01:00.479Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,de3309ca-97d5-4211-bffe-739fed47e92f,Big Thunder Mountain Railroad,OPERATING,25,2026-08-16T01:23:58.632Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,73cb9445-0695-47a3-87ce-d08ae36b5f3c,Tiana's Bayou Adventure,OPERATING,15,2026-08-16T01:28:06.768Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,90d79335-c907-4069-a021-d0fe1ec73ae2,Cinderella Castle,OPERATING,,2026-08-15T12:00:00.469Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,888fb4a4-7adf-47a1-8ba2-c258cc64fd75,Main Street Vehicles,CLOSED,,2026-08-15T20:01:06.089Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,0d94ad60-72f0-4551-83a6-ebaecdd89737,The Many Adventures of Winnie the Pooh,OPERATING,20,2026-08-16T01:14:01.908Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,352feb94-e52e-45eb-9c92-e4b44c6b1a9d,Pirates of the Caribbean,OPERATING,5,2026-08-16T01:33:38.840Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,ffcfeaa2-1416-4920-a1ed-543c1a1695c4,Tomorrowland Transit Authority PeopleMover,OPERATING,10,2026-08-16T00:57:06.099Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,86a41273-5f15-4b54-93b6-829f140e5161,Peter Pan's Flight,OPERATING,20,2026-08-16T01:30:58.908Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,0aae716c-af13-4439-b638-d75fb1649df3,Mad Tea Party,OPERATING,5,2026-08-16T01:33:38.832Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,7c5e1e02-3a44-4151-9005-44066d5ba1da,Mickey's PhilharMagic,OPERATING,15,2026-08-16T00:24:01.522Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,924a3b2c-6b4b-49e5-99d3-e9dc3f2e8a48,The Barnstormer,OPERATING,5,2026-08-16T01:33:38.778Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,5a43d1a7-ad53-4d25-abfe-25625f0da304,TRON Lightcycle / Run,OPERATING,80,2026-08-16T01:14:01.852Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,9d4d5229-7142-44b6-b4fb-528920969a2c,Seven Dwarfs Mine Train,OPERATING,35,2026-08-16T01:16:57.899Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,f5aad2d4-a419-4384-bd9a-42f86385c750,"""it's a small world""",OPERATING,5,2026-08-16T01:33:38.825Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,2551a77d-023f-4ab1-9a19-8afec0190f39,Haunted Mansion,OPERATING,10,2026-08-16T01:30:02.448Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,b2260923-9315-40fd-9c6b-44dd811dbe64,Space Mountain,OPERATING,45,2026-08-16T01:25:10.875Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,d9d12438-d999-4482-894b-8955fdb20ccf,Astro Orbiter,OPERATING,10,2026-08-16T01:30:02.243Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,f163ddcd-43e1-488d-8276-2381c1db0a39,Tomorrowland Speedway,OPERATING,5,2026-08-16T01:33:38.867Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,890fa430-89c0-4a3f-96c9-11597888005e,Dumbo the Flying Elephant,OPERATING,5,2026-08-16T01:33:38.817Z,,,,,,,,,,,
2026-08-15T21:35:12.534885-04:00,2026-08-15,PARTY,3cba0cb4-e2a6-402c-93ee-c11ffcb127ef,Under the Sea - Journey of The Little Mermaid,OPERATING,5,2026-08-16T01:33:38.786Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,96455de6-f4f1-403c-9391-bf8396979149,The Magic Carpets of Aladdin,OPERATING,5,2026-08-16T01:44:22.311Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,796b0a25-c51e-456e-9bb8-50a324e301b3,Jungle Cruise,OPERATING,20,2026-08-16T01:35:59.547Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,e8f0b426-7645-4ea3-8b41-b94ae7091a41,"Monsters, Inc. Laugh Floor",OPERATING,10,2026-08-16T01:33:38.769Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,73cb9445-0695-47a3-87ce-d08ae36b5f3c,Tiana's Bayou Adventure,OPERATING,15,2026-08-16T01:42:58.996Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,30fe3c64-af71-4c66-a54b-aa61fd7af177,Swiss Family Treehouse,OPERATING,5,2026-08-15T12:03:52.989Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,72c7343a-f7fb-4f66-95df-c91016de7338,Buzz Lightyear’s Space Ranger Spin,OPERATING,35,2026-08-16T01:23:58.640Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,0f57cecf-5502-4503-8bc3-ba84d3708ace,Country Bear Musical Jamboree,OPERATING,10,2026-08-15T16:23:52.113Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,f010bc01-b450-4476-a5f3-a5f2813104b2,Casey Jr. Splash 'N' Soak Station,CLOSED,,2026-08-15T22:00:00.629Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,273ddb8d-e7b5-4e34-8657-1113f49262a5,Prince Charming Regal Carrousel,OPERATING,10,2026-08-16T00:41:01.026Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,e76c93df-31af-49a5-8e2f-752c76c937c9,Enchanted Tales with Belle,CLOSED,,2026-08-15T23:30:59.893Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,2ebfb38c-5cb5-4de1-86c0-f7af14188022,The Hall of Presidents,CLOSED,,2026-08-16T01:01:02.647Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,e39b831b-7731-49bb-815b-289b4f49a9fd,"Walt Disney World Railroad - Main Street, U.S.A.",CLOSED,,2026-08-16T00:46:13.470Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,8183f3f2-1b59-4b9c-b634-6a863bdf8d84,Walt Disney's Carousel of Progress,REFURBISHMENT,,2026-07-23T21:50:48.516Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,e40ac396-cbac-43f4-8752-764ed60ccceb,Walt Disney World Railroad - Fantasyland,CLOSED,,2026-08-16T00:46:13.447Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,6fd1e225-53a0-4a80-a577-4bbc9a471075,Walt Disney's Enchanted Tiki Room,OPERATING,10,2026-08-15T13:01:47.946Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,de737ffc-306b-4f32-8bbb-34e5d370ec8f,A Pirate's Adventure ~ Treasures of the Seven Seas,CLOSED,,2026-08-15T22:01:00.479Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,de3309ca-97d5-4211-bffe-739fed47e92f,Big Thunder Mountain Railroad,OPERATING,30,2026-08-16T01:38:03.400Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,90d79335-c907-4069-a021-d0fe1ec73ae2,Cinderella Castle,OPERATING,,2026-08-15T12:00:00.469Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,888fb4a4-7adf-47a1-8ba2-c258cc64fd75,Main Street Vehicles,CLOSED,,2026-08-15T20:01:06.089Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,0d94ad60-72f0-4551-83a6-ebaecdd89737,The Many Adventures of Winnie the Pooh,OPERATING,20,2026-08-16T01:14:01.908Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,352feb94-e52e-45eb-9c92-e4b44c6b1a9d,Pirates of the Caribbean,OPERATING,5,2026-08-16T01:44:22.303Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,ffcfeaa2-1416-4920-a1ed-543c1a1695c4,Tomorrowland Transit Authority PeopleMover,OPERATING,10,2026-08-16T00:57:06.099Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,86a41273-5f15-4b54-93b6-829f140e5161,Peter Pan's Flight,OPERATING,20,2026-08-16T01:30:58.908Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,0aae716c-af13-4439-b638-d75fb1649df3,Mad Tea Party,OPERATING,5,2026-08-16T01:44:22.294Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,7c5e1e02-3a44-4151-9005-44066d5ba1da,Mickey's PhilharMagic,OPERATING,15,2026-08-16T00:24:01.522Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,924a3b2c-6b4b-49e5-99d3-e9dc3f2e8a48,The Barnstormer,OPERATING,5,2026-08-16T01:44:22.258Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,5a43d1a7-ad53-4d25-abfe-25625f0da304,TRON Lightcycle / Run,OPERATING,70,2026-08-16T01:42:06.395Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,2551a77d-023f-4ab1-9a19-8afec0190f39,Haunted Mansion,OPERATING,20,2026-08-16T01:38:58.876Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,9d4d5229-7142-44b6-b4fb-528920969a2c,Seven Dwarfs Mine Train,OPERATING,40,2026-08-16T01:42:06.386Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,f5aad2d4-a419-4384-bd9a-42f86385c750,"""it's a small world""",OPERATING,5,2026-08-16T01:44:22.285Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,b2260923-9315-40fd-9c6b-44dd811dbe64,Space Mountain,OPERATING,35,2026-08-16T01:44:08.737Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,d9d12438-d999-4482-894b-8955fdb20ccf,Astro Orbiter,OPERATING,10,2026-08-16T01:30:02.243Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,f163ddcd-43e1-488d-8276-2381c1db0a39,Tomorrowland Speedway,OPERATING,5,2026-08-16T01:44:22.320Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,890fa430-89c0-4a3f-96c9-11597888005e,Dumbo the Flying Elephant,OPERATING,5,2026-08-16T01:44:22.276Z,,,,,,,,,,,
2026-08-15T21:45:13.707670-04:00,2026-08-15,PARTY,3cba0cb4-e2a6-402c-93ee-c11ffcb127ef,Under the Sea - Journey of The Little Mermaid,OPERATING,5,2026-08-16T01:44:22.268Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,96455de6-f4f1-403c-9391-bf8396979149,The Magic Carpets of Aladdin,OPERATING,5,2026-08-16T01:53:23.495Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,e8f0b426-7645-4ea3-8b41-b94ae7091a41,"Monsters, Inc. Laugh Floor",OPERATING,10,2026-08-16T01:33:38.769Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,30fe3c64-af71-4c66-a54b-aa61fd7af177,Swiss Family Treehouse,OPERATING,5,2026-08-15T12:03:52.989Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,72c7343a-f7fb-4f66-95df-c91016de7338,Buzz Lightyear’s Space Ranger Spin,OPERATING,15,2026-08-16T01:50:57.628Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,796b0a25-c51e-456e-9bb8-50a324e301b3,Jungle Cruise,OPERATING,5,2026-08-16T01:59:26.910Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,0f57cecf-5502-4503-8bc3-ba84d3708ace,Country Bear Musical Jamboree,OPERATING,10,2026-08-15T16:23:52.113Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,f010bc01-b450-4476-a5f3-a5f2813104b2,Casey Jr. Splash 'N' Soak Station,CLOSED,,2026-08-15T22:00:00.629Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,273ddb8d-e7b5-4e34-8657-1113f49262a5,Prince Charming Regal Carrousel,DOWN,,2026-08-16T01:48:10.720Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,73cb9445-0695-47a3-87ce-d08ae36b5f3c,Tiana's Bayou Adventure,OPERATING,15,2026-08-16T01:59:26.885Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,e76c93df-31af-49a5-8e2f-752c76c937c9,Enchanted Tales with Belle,CLOSED,,2026-08-15T23:30:59.893Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,2ebfb38c-5cb5-4de1-86c0-f7af14188022,The Hall of Presidents,CLOSED,,2026-08-16T01:01:02.647Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,e39b831b-7731-49bb-815b-289b4f49a9fd,"Walt Disney World Railroad - Main Street, U.S.A.",CLOSED,,2026-08-16T00:46:13.470Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,8183f3f2-1b59-4b9c-b634-6a863bdf8d84,Walt Disney's Carousel of Progress,REFURBISHMENT,,2026-07-23T21:50:48.516Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,e40ac396-cbac-43f4-8752-764ed60ccceb,Walt Disney World Railroad - Fantasyland,CLOSED,,2026-08-16T00:46:13.447Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,6fd1e225-53a0-4a80-a577-4bbc9a471075,Walt Disney's Enchanted Tiki Room,OPERATING,10,2026-08-15T13:01:47.946Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,de737ffc-306b-4f32-8bbb-34e5d370ec8f,A Pirate's Adventure ~ Treasures of the Seven Seas,CLOSED,,2026-08-15T22:01:00.479Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,de3309ca-97d5-4211-bffe-739fed47e92f,Big Thunder Mountain Railroad,OPERATING,25,2026-08-16T01:46:00.857Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,90d79335-c907-4069-a021-d0fe1ec73ae2,Cinderella Castle,OPERATING,,2026-08-15T12:00:00.469Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,888fb4a4-7adf-47a1-8ba2-c258cc64fd75,Main Street Vehicles,CLOSED,,2026-08-15T20:01:06.089Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,352feb94-e52e-45eb-9c92-e4b44c6b1a9d,Pirates of the Caribbean,OPERATING,5,2026-08-16T01:59:26.918Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,0d94ad60-72f0-4551-83a6-ebaecdd89737,The Many Adventures of Winnie the Pooh,OPERATING,10,2026-08-16T01:48:03.108Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,ffcfeaa2-1416-4920-a1ed-543c1a1695c4,Tomorrowland Transit Authority PeopleMover,OPERATING,5,2026-08-16T01:52:05.694Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,86a41273-5f15-4b54-93b6-829f140e5161,Peter Pan's Flight,OPERATING,35,2026-08-16T01:54:59.696Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,0aae716c-af13-4439-b638-d75fb1649df3,Mad Tea Party,OPERATING,5,2026-08-16T01:53:23.466Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,7c5e1e02-3a44-4151-9005-44066d5ba1da,Mickey's PhilharMagic,OPERATING,15,2026-08-16T00:24:01.522Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,924a3b2c-6b4b-49e5-99d3-e9dc3f2e8a48,The Barnstormer,OPERATING,5,2026-08-16T01:59:26.867Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,5a43d1a7-ad53-4d25-abfe-25625f0da304,TRON Lightcycle / Run,OPERATING,60,2026-08-16T01:52:05.657Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,9d4d5229-7142-44b6-b4fb-528920969a2c,Seven Dwarfs Mine Train,OPERATING,30,2026-08-16T01:54:59.684Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,2551a77d-023f-4ab1-9a19-8afec0190f39,Haunted Mansion,OPERATING,15,2026-08-16T01:54:01.234Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,f5aad2d4-a419-4384-bd9a-42f86385c750,"""it's a small world""",OPERATING,5,2026-08-16T01:59:26.902Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,b2260923-9315-40fd-9c6b-44dd811dbe64,Space Mountain,OPERATING,20,2026-08-16T01:53:23.480Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,d9d12438-d999-4482-894b-8955fdb20ccf,Astro Orbiter,OPERATING,10,2026-08-16T01:30:02.243Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,f163ddcd-43e1-488d-8276-2381c1db0a39,Tomorrowland Speedway,OPERATING,5,2026-08-16T01:59:26.926Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,890fa430-89c0-4a3f-96c9-11597888005e,Dumbo the Flying Elephant,OPERATING,5,2026-08-16T01:59:26.893Z,,,,,,,,,,,
2026-08-15T22:00:17.231205-04:00,2026-08-15,PARTY,3cba0cb4-e2a6-402c-93ee-c11ffcb127ef,Under the Sea - Journey of The Little Mermaid,OPERATING,5,2026-08-16T01:59:26.876Z,,,,,,,,,,,
2026-08-15T22:15:11.964060-04:00,2026-08-15,PARTY,96455de6-f4f1-403c-9391-bf8396979149,The Magic Carpets of Aladdin,OPERATING,5,2026-08-16T02:13:43.837Z,,,,,,,,,,,
2026-08-15T22:15:11.964060-04:00,2026-08-15,PARTY,30fe3c64-af71-4c66-a54b-aa61fd7af177,Swiss Family Treehouse,OPERATING,5,2026-08-15T12:03:52.989Z,,,,,,,,,,,
2026-08-15T22:15:11.964060-04:00,2026-08-15,PARTY,72c7343a-f7fb-4f66-95df-c91016de7338,Buzz Lightyear’s Space Ranger Spin,OPERATING,10,2026-08-16T02:06:05.442Z,,,,,,,,,,,
